,LocationDesc,2010,2011,2012,2013,2014,2015,2016
0,Alabama,61,36,57,42,57,52,48
1,Alaska, , , , , ,,
2,Arizona,58,92,80,98,86,76,108
3,Arkansas,37,46,30,36,33,30,45
4,California,403,403,384,410,407,393,391
5,Colorado,48,42,55,51,41,46,46
6,Connecticut,45,24,39,36,36,48,44
7,Delaware, , , , , ,13,11
8,District of Columbia, , , , , ,13,10
9,Florida,177,148,195,188,191,175,184
10,Georgia,97,96,93,101,96,92,93
11,Hawaii, ,26, ,24,24,17,15
12,Idaho,21, ,21,23,22,21,21
13,Illinois,183,176,174,192,167,157,149
14,Indiana,69,73,72,69,73,90,55
15,Iowa,46,43,35,36,54,41,34
16,Kansas,33,25,26,32,27,29,41
17,Kentucky,44,33,25,36,35,38,48
18,Louisiana,36,37,40,56,61,47,42
19,Maine, , , , , ,11,
20,Maryland,71,71,91,71,87,79,79
21,Massachusetts,50,69,58,67,76,84,86
22,Michigan,105,113,107,110,94,112,93
23,Minnesota,73,60,72,79,66,61,76
24,Mississippi,49,54,45,61,48,52,65
25,Missouri,76,48,75,53,89,72,73
26,Montana, , , , , ,12,16
27,Nebraska,26,32,26,25,30,36,28
28,Nevada,27,20,20,27,25,24,37
29,New Hampshire, , , , , ,16,11
30,New Jersey,80,94,103,134,111,116,102
31,New Mexico,22,26,27, ,28,26,27
32,New York,283,257,284,283,302,295,273
33,North Carolina,101,99,123,112,106,96,103
34,North Dakota, , , , , ,,11
35,Ohio,151,127,145,130,116,159,133
36,Oklahoma,34,44,54,50,56,52,43
37,Oregon,60,46,56,62,77,53,75
38,Pennsylvania,132,131,146,157,149,155,128
39,Rhode Island, , , , , ,,
40,South Carolina,66,70,81,61,74,57,60
41,South Dakota, ,20, , , ,13,16
42,Tennessee,67,69,58,62,64,64,78
43,Texas,192,195,206,213,212,241,196
44,United States,3404,3345,3531,3630,3651,"3,615","3,518"
45,Utah,28,44,28,31,31,40,36
46,Vermont, , , , , ,11,13
47,Virginia,69,89,107,87,103,90,81
48,Washington,75,82,77,87,93,88,78
49,West Virginia,24,22, ,30, ,25,25
50,Wisconsin,63,64,78,75,77,66,66
51,Wyoming, , , , , ,,
