,State,Asthma Mortality,value_CO Mean,value_NO2 Mean,value_O3 Mean,value_SO2 Mean,value_State Average
0,Alabama,50.42857142857143,0.2123757730255025,0.010020339927524768,0.022269796526094114,0.0009641802690373822,0.061407522437039695
1,Arizona,85.42857142857143,0.37259778171811736,0.01577739964427952,0.026296572677682477,0.0007772294590938936,0.1038622458747933
2,Arkansas,36.714285714285715,0.39068728354336596,0.00949803716162271,0.02610927484716901,0.0011831086304999548,0.1068694260456644
3,California,398.7142857142857,0.34939196280164303,0.010945387519043318,0.026367549451153265,0.0005893360009230457,0.09682355894319063
4,Colorado,47.0,0.36444384907366373,0.018419840049328885,0.025505307449215666,0.001120584207266365,0.10237239519486865
5,Connecticut,38.857142857142854,0.22310779966073602,0.008041488860625999,0.029887165286867013,0.0006784334568599865,0.06542872181627224
6,Delaware,12.0,0.2656396841418848,0.011648918206483375,0.026698705458731514,0.0009885255732670704,0.0762439583450917
7,Florida,179.71428571428572,0.43702811720046947,0.005081282107366093,0.02726927106306989,0.0001190769513221969,0.11737443683055691
8,Georgia,95.42857142857143,0.32826834908613006,0.011849577415573307,0.020048146217198366,0.0005391929447989377,0.09017631641592518
9,Hawaii,21.2,0.3687678826404566,0.0031789827325270177,0.025442513883481104,0.001033468301065741,0.09960571188938261
10,Idaho,21.5,0.22623713031434417,0.009663230274479106,0.01971244562206432,0.0005254682751415152,0.06403456862150728
11,Illinois,171.14285714285714,0.31347874982914137,0.011056068820076507,0.025346836976442955,0.0013984162402835346,0.08782001796648609
12,Indiana,71.57142857142857,0.23173163492880036,0.011169436750825846,0.029609352552604412,0.0016543355045048128,0.06854118993418386
13,Iowa,41.285714285714285,0.21523410120243586,0.006802775168031199,0.028443194861054646,0.000393602312821914,0.0627184183860859
14,Kansas,30.428571428571427,0.37517929466305583,0.011962695365417641,0.024427012417514438,0.0025946079955678036,0.10354090261038894
15,Kentucky,37.0,0.29486147278390745,0.011156477542059262,0.019820567418244995,0.0011849214891732872,0.08175585980834625
16,Louisiana,45.57142857142857,0.2308451047744558,0.011168891585266997,0.02469698533421926,0.0010799050080361604,0.06694772167549455
17,Maine,11.0,0.25077691772306704,0.005271660418545259,0.025725052856039626,0.0007361669984805176,0.0706274494990331
18,Maryland,78.42857142857143,0.26121376419518055,0.009932734917192513,0.02703001296035615,0.0012885581018530494,0.07486626754364556
19,Massachusetts,70.0,0.27718134666928834,0.016383661479237817,0.021823302048554958,0.0010778365199601266,0.07911653667926032
20,Minnesota,69.57142857142857,0.22917468494156606,0.0067792108661706395,0.02843917181440645,0.0006129471680127244,0.06625150369753899
21,Missouri,69.42857142857143,0.27665106151393704,0.012362484723147214,0.023234224608279213,0.0017829937685558163,0.07850769115347982
22,Nevada,25.714285714285715,0.2893655164643292,0.016239841058921508,0.027197542156434763,0.0004335898907991551,0.08330912239262113
23,New Hampshire,13.5,0.25851854962778203,0.004931348517554774,0.029212201127397006,0.0008963135799474149,0.07338960321317031
24,New Jersey,105.71428571428571,0.29716879331961155,0.016597101770808385,0.024080748106526446,0.0009249158280326354,0.08469288975624475
25,New Mexico,26.0,0.21121268109021057,0.012334727212619311,0.03170125624425148,0.0006277198997546701,0.06396909611170902
26,New York,282.42857142857144,0.29560291194317206,0.01628936847964552,0.025002497097476796,0.0019222703527502182,0.08470426196826115
27,North Carolina,105.71428571428571,0.2882539011289332,0.008715840594639724,0.027722518963336478,0.00041163086352980817,0.0812759728876098
28,North Dakota,11.0,0.1713403929546745,0.004669597913376753,0.026291662550710297,0.0002274578966275072,0.050632277828847265
29,Ohio,137.28571428571428,0.2756375567435466,0.011502768511761866,0.026140979069701288,0.002515534248092828,0.07894920964327565
30,Oklahoma,47.57142857142857,0.20942031186032461,0.006906709028732383,0.029935423989008215,0.0006945924004740872,0.06173925931963483
31,Oregon,61.285714285714285,0.2947975149402313,0.009118718977799515,0.019478485387774882,0.0008615145577029751,0.08106405846587718
32,Pennsylvania,142.57142857142858,0.1937979911103994,0.00952313967840805,0.026268647285225082,0.0020103703074482236,0.057900037095370185
33,South Carolina,67.0,0.12317978663793103,0.005369049885775864,0.031169905172413796,0.0004537361896551723,0.04004311947144396
34,South Dakota,16.333333333333332,0.18779555501789075,0.005257147082660796,0.02965321925249014,0.0004930432063860159,0.05579974113985693
35,Tennessee,66.0,0.1800076438279782,0.0008943298852287052,0.03995530106160887,0.00038420554468414163,0.055310370079874986
36,Texas,207.85714285714286,0.19988901704064335,0.010032620787419896,0.02615957218129327,0.00048252888534706343,0.05914093472367591
37,Utah,34.0,0.37736354529005034,0.017066172274087743,0.02783650987254221,0.0004888746351425847,0.10568877551795573
38,Virginia,89.42857142857143,0.24960735344367418,0.007714143540273873,0.029793041388958365,0.0006886340974417532,0.07195079311758702
39,Washington,82.85714285714286,0.21882904907496784,0.011286483437998715,0.020511314824646076,0.0005965712500723938,0.06280585464692126
